iter	Logloss
0	0.6764121093
1	0.6608679886
2	0.6474262548
3	0.6346772701
4	0.6240891455
5	0.6145351591
6	0.6055828121
7	0.5975692814
8	0.5899736843
9	0.5833952538
10	0.5780899862
11	0.57275195
12	0.5678394319
13	0.5634101815
14	0.559488379
15	0.5558142495
16	0.5526097989
17	0.5496851781
18	0.5466454312
19	0.544024463
20	0.5415541767
21	0.539411962
22	0.5376761273
23	0.5356440473
24	0.5339638456
25	0.5326383554
26	0.5311531539
27	0.5298327902
28	0.5283715418
29	0.5271603926
30	0.5260286537
31	0.5249103396
32	0.5236533632
33	0.5225950998
34	0.5215776843
35	0.5206952498
36	0.5197625585
37	0.5189528942
38	0.5180741619
39	0.5172105727
40	0.5164199247
41	0.5156240484
42	0.5150642028
43	0.5142416614
44	0.5135287079
45	0.5130400954
46	0.5122882909
47	0.5115538122
48	0.5110500157
49	0.510557085
50	0.5099102226
51	0.509243567
52	0.5086483798
53	0.5081046027
54	0.5075852747
55	0.5069436373
56	0.506240618
57	0.505531092
58	0.5050169851
59	0.5043960516
60	0.5038646044
61	0.5033461559
62	0.5027746348
63	0.5023167573
64	0.501858537
65	0.5014240627
66	0.5010318136
67	0.5004915844
68	0.5001280997
69	0.4995884489
70	0.4990962589
71	0.498301271
72	0.497809354
73	0.4974038264
74	0.4967845368
75	0.496449228
76	0.4959188219
77	0.4956009034
78	0.4951826338
79	0.4948000517
80	0.4944769642
81	0.4938921747
82	0.4935433616
83	0.493110725
84	0.4927109433
85	0.49223777
86	0.4918793582
87	0.4913906197
88	0.4908700409
89	0.4904391835
90	0.4900348208
91	0.4896816301
92	0.4893349473
93	0.4889043289
94	0.4885596769
95	0.4881318099
96	0.4877907548
97	0.4873778584
98	0.4868895592
99	0.4864429786
100	0.4860810351
101	0.4856805188
102	0.4853067941
103	0.4850046687
104	0.4846492291
105	0.4842162314
106	0.4837908807
107	0.4834213634
108	0.4829995632
109	0.4826833137
110	0.4822700646
111	0.4818292031
112	0.4814178093
113	0.4810673726
114	0.4807264156
115	0.4804297575
116	0.4800189314
117	0.4796434341
118	0.4791687388
119	0.4787999054
120	0.4783975535
121	0.4779055464
122	0.4775820394
123	0.4772047585
124	0.476807579
125	0.4764247645
126	0.4760819066
127	0.4756786572
128	0.4753742692
129	0.4750545929
130	0.4747176638
131	0.4743674001
132	0.4740049503
133	0.4736117343
134	0.4733068456
135	0.4729194885
136	0.4726698597
137	0.4723611254
138	0.471899793
139	0.4716002281
140	0.4712577957
141	0.4707281536
142	0.4704156648
143	0.4700700928
144	0.4696912391
145	0.4692658143
146	0.4690122154
147	0.4687130243
148	0.4683935514
149	0.4680034237
150	0.4677332612
151	0.4673715267
152	0.4670482234
153	0.4667230561
154	0.4663435021
155	0.4661152205
156	0.4657954155
157	0.4655589017
158	0.4652873152
159	0.4650064933
160	0.4647160739
161	0.4643965862
162	0.4641259565
163	0.4637939956
164	0.4634859816
165	0.4632087414
166	0.4627947967
167	0.4624930282
168	0.4621899047
169	0.4618516464
170	0.4616332583
171	0.4612565294
172	0.4609725353
173	0.4606850198
174	0.4603389318
175	0.4599942227
176	0.4597363857
177	0.4594845571
178	0.4592964638
179	0.4589645065
180	0.4587030344
181	0.4584346762
182	0.4581171782
183	0.4577241585
184	0.4574938896
185	0.457329005
186	0.4569757298
187	0.4566722405
188	0.4563044572
189	0.4560672889
190	0.4557256628
191	0.4554267096
192	0.4550703253
193	0.4548515566
194	0.4545239768
195	0.4542112637
196	0.4537936379
197	0.4534975245
198	0.4532628536
199	0.452952083
200	0.4527090981
201	0.4524001135
202	0.4520803172
203	0.4517874136
204	0.4515014323
205	0.4512192088
206	0.4508994179
207	0.450680637
208	0.4503750673
209	0.4500552502
210	0.4497947738
211	0.449508622
212	0.449268225
213	0.4489619052
214	0.4486892572
215	0.4483890837
216	0.4481233628
217	0.4477233072
218	0.4473855792
219	0.4470951372
220	0.4469290982
221	0.4466803096
222	0.4463549062
223	0.446002848
224	0.4457471537
225	0.4454800803
226	0.445204333
227	0.4449595392
228	0.4446531226
229	0.444399219
230	0.444241582
231	0.4439847736
232	0.443697158
233	0.4433736505
234	0.4429673257
235	0.4427314381
236	0.4425009988
237	0.4422184241
238	0.4419180498
239	0.4417312638
240	0.4414240421
241	0.4411699911
242	0.4410412827
243	0.4407692942
244	0.4404264922
245	0.4401705916
246	0.439931208
247	0.4395957847
248	0.4393181794
249	0.4389910954
250	0.4387633328
251	0.4386027859
252	0.4382665203
253	0.43795912
254	0.4377241094
255	0.4374255287
256	0.4371431785
257	0.4369032168
258	0.4365733196
259	0.4362785261
260	0.4359850482
261	0.4357503849
262	0.4354730709
263	0.435237392
264	0.4349323893
265	0.4346428682
266	0.4343921211
267	0.4340247379
268	0.4337928249
269	0.4335581647
270	0.4332713939
271	0.4329687408
272	0.4326192251
273	0.4324240634
274	0.4321933974
275	0.4319391279
276	0.4317141263
277	0.4314140674
278	0.4311575073
279	0.4309705794
280	0.4307160975
281	0.4305854628
282	0.4302030095
283	0.4299247661
284	0.4296557422
285	0.4293437224
286	0.4290093521
287	0.4287469266
288	0.4284437205
289	0.4282607984
290	0.4279344525
291	0.4276820004
292	0.427475372
293	0.4272129467
294	0.426921516
295	0.4266630486
296	0.4264656228
297	0.4262246283
298	0.4260539101
299	0.4258446732
